tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt_v1,awarded_amt,main_category,augmented_text
NATHQ0ETT17300001,"Invitation to Tender for Layout, Design and Printing of 'Urban Solutions' and 'Urban Systems Studies'",Ministry of National Development-Ministry Headquarter,20/10/2017,Awarded to Suppliers,REDBEAN DE PTE. LTD.,"339,360.0",$339360,Government Ministries & Departments,"REDBEAN DE PTE. LTD. was chosen on 20/10/2017 to fulfill the tender with a total value of $339360.0. In a call for competitive bids, Ministry of National Development-Ministry Headquarter (Government Ministries & Departments) released Tender No. NATHQ0ETT17300001 regarding Invitation to Tender for Layout, Design and Printing of 'Urban Solutions' and 'Urban Systems Studies'. Status update: Awarded to Suppliers."
HOMHQ0ETT15000077,"Conceptualisation, Design, Build And Delivery Of Intelligent Rescue Manikin",Ministry of Home Affairs-Ministry Headquarter,16/10/2015,Awarded to No Suppliers,Unknown,0.0,$0,Government Ministries & Departments,"Status update: Awarded to No Suppliers. With an aim to secure quality services, Ministry of Home Affairs-Ministry Headquarter from Government Ministries & Departments published Tender No. HOMHQ0ETT15000077 for Conceptualisation, Design, Build And Delivery Of Intelligent Rescue Manikin. After a meticulous evaluation, no supplier was awarded as of 16/10/2015."
MOE000ETT20300022,"Provision of Consultancy Services and Real Time Monitoring for Overseas and Local Travel for 17 months with the option to extend for 2 years, followed by another 2 years",Ministry of Education,11/6/2020,Awarded to No Suppliers,Unknown,0.0,$0,Government Ministries & Departments,"Status update: Awarded to No Suppliers. As of 11/6/2020, the tender did not attract any qualifying bids, leaving it unawarded. Ministry of Education (Government Ministries & Departments) has issued Tender No. MOE000ETT20300022 seeking submissions for Provision of Consultancy Services and Real Time Monitoring for Overseas and Local Travel for 17 months with the option to extend for 2 years, followed by another 2 years."
FOR000ETT18300070,Provision of Comprehensive Maintenance of Passenger Lifts and Dumbwaiter at the Singapore Embassy in Yangon including the staff residential block.,Ministry of Foreign Affairs,9/4/2019,Awarded to Suppliers,SCHINDLER LIFTS (SINGAPORE) PTE. LTD.,"155,451.3",$155451.27,Government Ministries & Departments,"The contract was awarded on 9/4/2019 to SCHINDLER LIFTS (SINGAPORE) PTE. LTD. with a value of $155451.27. In a call for competitive bids, Ministry of Foreign Affairs (Government Ministries & Departments) released Tender No. FOR000ETT18300070 regarding Provision of Comprehensive Maintenance of Passenger Lifts and Dumbwaiter at the Singapore Embassy in Yangon including the staff residential block.. The current status of the tender is: Awarded to Suppliers."
HLTHQ0ETT14000111,"INVITATION TO TENDER FOR INSTRUMENTATION AND MONITORING WORKS FOR PROPOSED ERECTION OF NATIONAL CENTRE FOR INFECTIOUS DISEASES, CENTRE FOR HEALTHCARE INNOVATION WITH BASEMENTS AND ANCILLARY WORKS AT JALAN TAN TOCK SENG",Ministry of Health-Ministry Headquarter,5/2/2015,Awarded to Suppliers,GROUND INSTRUMENTATION & ENGINEERING PTE. LTD.,"678,245.0",$678245,Government Ministries & Departments,"The contract was awarded on 5/2/2015 to GROUND INSTRUMENTATION & ENGINEERING PTE. LTD. with a value of $678245.0. Announcing Tender No. HLTHQ0ETT14000111, Ministry of Health-Ministry Headquarter (Government Ministries & Departments) invites proposals for INVITATION TO TENDER FOR INSTRUMENTATION AND MONITORING WORKS FOR PROPOSED ERECTION OF NATIONAL CENTRE FOR INFECTIOUS DISEASES, CENTRE FOR HEALTHCARE INNOVATION WITH BASEMENTS AND ANCILLARY WORKS AT JALAN TAN TOCK SENG. Tender status is recorded as 'Awarded to Suppliers'."
HOMHQ0ETT18300066,[3+3] Year Period Contract for Provision of Family Programmes and Services,Ministry of Home Affairs-Ministry Headquarter,24/9/2018,Awarded by Items,AMKFSC COMMUNITY SERVICES LTD.,"2,420,710.1",$2420710.11,Government Ministries & Departments,"Status update: Awarded by Items. As of 24/9/2018, the tender did not attract any qualifying bids, leaving it unawarded. In a call for competitive bids, Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) released Tender No. HOMHQ0ETT18300066 regarding [3+3] Year Period Contract for Provision of Family Programmes and Services."
FOR000ETT16000081,Renovation and Refurbishment Works for the Official Residence of the Singapore Embassy in Jakarta,Ministry of Foreign Affairs,13/3/2017,Awarded to Suppliers,PT GITACIPTA SELARAS,"1,053,449.4",$1053449.39,Government Ministries & Departments,"Announcing Tender No. FOR000ETT16000081, Ministry of Foreign Affairs (Government Ministries & Departments) invites proposals for Renovation and Refurbishment Works for the Official Residence of the Singapore Embassy in Jakarta. PT GITACIPTA SELARAS was chosen on 13/3/2017 to fulfill the tender with a total value of $1053449.39. Tender status is recorded as 'Awarded to Suppliers'."
HOMHQ0ETT15000248,REFURBISHMENT OF SIX OFFICES AT ICA WOODLANDS CHECKPOINT,Ministry of Home Affairs-Ministry Headquarter,26/5/2016,Awarded to Suppliers,ACEPROJECT CONSTRUCTION PTE. LTD.,"460,490.0",$460490,Government Ministries & Departments,"Ministry of Home Affairs-Ministry Headquarter, a prominent Government Ministries & Departments organization, has launched Tender No. HOMHQ0ETT15000248 for REFURBISHMENT OF SIX OFFICES AT ICA WOODLANDS CHECKPOINT. The contract was awarded on 26/5/2016 to ACEPROJECT CONSTRUCTION PTE. LTD. with a value of $460490.0. Status update: Awarded to Suppliers."
HOMHQ0ETT16000209,Supply and maintenance of Scanning System,Ministry of Home Affairs-Ministry Headquarter,26/8/2016,Awarded to Suppliers,NEOLASER SOLUTIONS PTE. LTD.,"214,600.0",$214600,Government Ministries & Departments,"Tender status is recorded as 'Awarded to Suppliers'. On 26/8/2016, NEOLASER SOLUTIONS PTE. LTD. secured the contract, which is valued at $214600.0. With an aim to secure quality services, Ministry of Home Affairs-Ministry Headquarter from Government Ministries & Departments published Tender No. HOMHQ0ETT16000209 for Supply and maintenance of Scanning System."
FOR000ETT20300029,Provision of Repair Works and Repainting of Retaining Wall of Singapore Embassy in Tokyo,Ministry of Foreign Affairs,9/9/2020,Awarded to Suppliers,Marubishi Co Ltd,"153,550.5",$153550.54,Government Ministries & Departments,"Marubishi Co Ltd was chosen on 9/9/2020 to fulfill the tender with a total value of $153550.54. The current status of the tender is: Awarded to Suppliers. With an aim to secure quality services, Ministry of Foreign Affairs from Government Ministries & Departments published Tender No. FOR000ETT20300029 for Provision of Repair Works and Repainting of Retaining Wall of Singapore Embassy in Tokyo."
HOMHQ0ETT16000013,Provision of Data Collection Services for Safety and Security Survey,Ministry of Home Affairs-Ministry Headquarter,29/3/2016,Awarded to Suppliers,MEDIA RESEARCH CONSULTANTS PTE LTD,"229,000.0",$229000,Government Ministries & Departments,"Tender status is recorded as 'Awarded to Suppliers'. The contract was awarded on 29/3/2016 to MEDIA RESEARCH CONSULTANTS PTE LTD with a value of $229000.0. In a call for competitive bids, Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) released Tender No. HOMHQ0ETT16000013 regarding Provision of Data Collection Services for Safety and Security Survey."
MOE000ETT16000049,For the Implementation and Operations of Schools Standard ICT Operating Environment 2 (SSOE 2) Infrastructure,Ministry of Education,27/3/2017,Awarded to Suppliers,NCS PTE. LTD.,"800,000,000.0",$800000000,Government Ministries & Departments,"On 27/3/2017, NCS PTE. LTD. secured the contract, which is valued at $800000000.0. In a call for competitive bids, Ministry of Education (Government Ministries & Departments) released Tender No. MOE000ETT16000049 regarding For the Implementation and Operations of Schools Standard ICT Operating Environment 2 (SSOE 2) Infrastructure. Tender status is recorded as 'Awarded to Suppliers'."
MOE000ETT17000003,Supply of Two Part-Time Literacy Coaches (with experience) for MOE Special Education Branch for 2 years with an Option to Extend for Another Year.,Ministry of Education,22/3/2017,Awarded to Suppliers,Business Edge Personnel Services Pte Ltd,"36,984.0",$36984,Government Ministries & Departments,"The contract was awarded on 22/3/2017 to Business Edge Personnel Services Pte Ltd with a value of $36984.0. With an aim to secure quality services, Ministry of Education from Government Ministries & Departments published Tender No. MOE000ETT17000003 for Supply of Two Part-Time Literacy Coaches (with experience) for MOE Special Education Branch for 2 years with an Option to Extend for Another Year.. The current status of the tender is: Awarded to Suppliers."
HLTHQ0ETT16000026,"INVITATION TO TENDER FOR THE PROVISION OF QUANTITY SURVEYING CONSULTANCY SERVICES TO THE MINISTRY OF HEALTH FOR THE PROPOSED DEVELOPMENT OF A NURSING HOME AT BUKIT BATOK WEST, SINGAPORE",Ministry of Health-Ministry Headquarter,11/7/2016,Awarded to Suppliers,RIDER LEVETT BUCKNALL LLP,"188,000.0",$188000,Government Ministries & Departments,"The current status of the tender is: Awarded to Suppliers. Announcing Tender No. HLTHQ0ETT16000026, Ministry of Health-Ministry Headquarter (Government Ministries & Departments) invites proposals for INVITATION TO TENDER FOR THE PROVISION OF QUANTITY SURVEYING CONSULTANCY SERVICES TO THE MINISTRY OF HEALTH FOR THE PROPOSED DEVELOPMENT OF A NURSING HOME AT BUKIT BATOK WEST, SINGAPORE. The contract was awarded on 11/7/2016 to RIDER LEVETT BUCKNALL LLP with a value of $188000.0."
HOMHQ0ETT16000135,Provision of Consultancy Services for Organizational Health Survey,Ministry of Home Affairs-Ministry Headquarter,15/8/2016,Awarded to Suppliers,WILLIS TOWERS WATSON CONSULTING (SINGAPORE) PTE. LTD.,"224,140.0",$224140,Government Ministries & Departments,Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) has issued Tender No. HOMHQ0ETT16000135 seeking submissions for Provision of Consultancy Services for Organizational Health Survey. The contract was awarded on 15/8/2016 to WILLIS TOWERS WATSON CONSULTING (SINGAPORE) PTE. LTD. with a value of $224140.0. The current status of the tender is: Awarded to Suppliers.
CCYNYCETT19300004,REQUEST FOR PROPOSAL (RFP) FOR DESIGN & DELIVERY OF THE SINGAPORE PERSPECTIVES PROGRAMME FOR A PERIOD OF 12 MONTHS WITH AN OPTION TO EXTEND FOR UP TO 24 MONTHS,"Ministry of Culture, Community and Youth - National Youth Council",20/6/2019,Awarded to Suppliers,THINK TANK STUDIO PTE. LTD.,"961,848.0",$961848,Government Ministries & Departments,"Ministry of Culture, Community and Youth - National Youth Council (Government Ministries & Departments) has issued Tender No. CCYNYCETT19300004 seeking submissions for REQUEST FOR PROPOSAL (RFP) FOR DESIGN & DELIVERY OF THE SINGAPORE PERSPECTIVES PROGRAMME FOR A PERIOD OF 12 MONTHS WITH AN OPTION TO EXTEND FOR UP TO 24 MONTHS. On 20/6/2019, THINK TANK STUDIO PTE. LTD. secured the contract, which is valued at $961848.0. The current status of the tender is: Awarded to Suppliers."
CCYNYCETT15000014,INVITATION TO TENDER FOR CONCEPTUALISATION AND EVENT MANAGEMENT SERVICES FOR THE SINGAPORE YOUTH AWARD 2015 PRESENTATION CEREMONY ON 12 JULY 2015,"Ministry of Culture, Community and Youth - National Youth Council",29/5/2015,Awarded to Suppliers,TWIST MEDIA PTE. LTD.,"149,540.0",$149540,Government Ministries & Departments,"Following a thorough evaluation, the award was granted on 29/5/2015 to TWIST MEDIA PTE. LTD. for $149540.0. Ministry of Culture, Community and Youth - National Youth Council, a prominent Government Ministries & Departments organization, has launched Tender No. CCYNYCETT15000014 for INVITATION TO TENDER FOR CONCEPTUALISATION AND EVENT MANAGEMENT SERVICES FOR THE SINGAPORE YOUTH AWARD 2015 PRESENTATION CEREMONY ON 12 JULY 2015. Status update: Awarded to Suppliers."
MOE000ETT15000237,Civil & Structural Consultancy Services for the Construction of New Primary School at Punggol Site along Punggol Way (near Sumang LRT Station),Ministry of Education,3/12/2015,Awarded to Suppliers,RANKINE & HILL (SINGAPORE) PTE. LTD.,0.8,$0.75,Government Ministries & Departments,"RANKINE & HILL (SINGAPORE) PTE. LTD. was chosen on 3/12/2015 to fulfill the tender with a total value of $0.75. Announcing Tender No. MOE000ETT15000237, Ministry of Education (Government Ministries & Departments) invites proposals for Civil & Structural Consultancy Services for the Construction of New Primary School at Punggol Site along Punggol Way (near Sumang LRT Station). This tender holds the status: Awarded to Suppliers."
FINCEDETT19300013,This is an electronic GPA covered open tender for the provision of storage space to store seized and forfeited motor vehicles by Singapore Customs for a period of two (2) years with an option to extend for one (1) year after the second year.,Ministry of Finance - Singapore Customs,3/2/2020,Awarded to Suppliers,IG LOGISTICS PTE. LTD.,"649,980.0",$649980,Government Ministries & Departments,Ministry of Finance - Singapore Customs (Government Ministries & Departments) has issued Tender No. FINCEDETT19300013 seeking submissions for This is an electronic GPA covered open tender for the provision of storage space to store seized and forfeited motor vehicles by Singapore Customs for a period of two (2) years with an option to extend for one (1) year after the second year.. IG LOGISTICS PTE. LTD. was chosen on 3/2/2020 to fulfill the tender with a total value of $649980.0. This tender holds the status: Awarded to Suppliers.
HOMHQ0ETT16000120,PROVISION OF MULTI-DISCIPLINARY CONSULTANCY SERVICES FOR CONSTRUCTION OF NEIGHBOURHOOD POLICE CENTRES,Ministry of Home Affairs-Ministry Headquarter,5/7/2016,Awarded to Suppliers,S A CHUA ARCHITECTS PTE. LTD.,"1,552,600.0",$1552600,Government Ministries & Departments,"The contract was awarded on 5/7/2016 to S A CHUA ARCHITECTS PTE. LTD. with a value of $1552600.0. Tender status is recorded as 'Awarded to Suppliers'. In a call for competitive bids, Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) released Tender No. HOMHQ0ETT16000120 regarding PROVISION OF MULTI-DISCIPLINARY CONSULTANCY SERVICES FOR CONSTRUCTION OF NEIGHBOURHOOD POLICE CENTRES."
MOE000ETT15000224,Multi-Disciplinary Consultancy Services for the PERI Upgrading of Mayflower Primary School with The Provision of Indoor Sports Hall,Ministry of Education,26/11/2015,Awarded to Suppliers,LAUD ARCHITECTS PTE LTD,6.5,$6.5,Government Ministries & Departments,"The current status of the tender is: Awarded to Suppliers. Ministry of Education (Government Ministries & Departments) has issued Tender No. MOE000ETT15000224 seeking submissions for Multi-Disciplinary Consultancy Services for the PERI Upgrading of Mayflower Primary School with The Provision of Indoor Sports Hall. Following a thorough evaluation, the award was granted on 26/11/2015 to LAUD ARCHITECTS PTE LTD for $6.5."
HOMHQ0ETT14000474,"For the Supply, Delivery, Installation, Testing and Commissioning of In-Vehicle Video Recording System (IVVRS) for the Singapore Police Force (SPF)",Ministry of Home Affairs-Ministry Headquarter,27/11/2015,Awarded to Suppliers,ST ENGINEERING ELECTRONICS LTD.,"16,605,831.0",$16605831,Government Ministries & Departments,"Ministry of Home Affairs-Ministry Headquarter, a prominent Government Ministries & Departments organization, has launched Tender No. HOMHQ0ETT14000474 for For the Supply, Delivery, Installation, Testing and Commissioning of In-Vehicle Video Recording System (IVVRS) for the Singapore Police Force (SPF). The contract was awarded on 27/11/2015 to ST ENGINEERING ELECTRONICS LTD. with a value of $16605831.0. Status update: Awarded to Suppliers."
HOMHQ0ETT15000384,"FOR THE SUPPLY, DELIVERY, SUPPORT OF ORACLE DATABASE MULTI-TENANCY SOFTWARE LICENSE WITH AN OPTION FOR MAINTENANCE OF SOFTWARE",Ministry of Home Affairs-Ministry Headquarter,22/2/2016,Awarded to Suppliers,PCS SECURITY PRIVATE LIMITED,"677,700.0",$677700,Government Ministries & Departments,"Announcing Tender No. HOMHQ0ETT15000384, Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) invites proposals for FOR THE SUPPLY, DELIVERY, SUPPORT OF ORACLE DATABASE MULTI-TENANCY SOFTWARE LICENSE WITH AN OPTION FOR MAINTENANCE OF SOFTWARE. Following a thorough evaluation, the award was granted on 22/2/2016 to PCS SECURITY PRIVATE LIMITED for $677700.0. The current status of the tender is: Awarded to Suppliers."
HLTHQ0ETT16000051,"INVITATION TO TENDER FOR PILING EARTH RETAINING / STABILISING STRUCTURE AND SITE LEVELLING WORKS TO THE MINISTRY OF HEALTH FOR THE PROPOSED DEVELOPMENT OF THE INTEGRATED INTERMEDIATE CARE HUB (IICH) AT HEALTHCITY NOVENA, SINGAPORE",Ministry of Health-Ministry Headquarter,26/1/2017,Awarded to Suppliers,ZAP PILING PTE LTD,"11,648,536.0",$11648536,Government Ministries & Departments,"ZAP PILING PTE LTD was chosen on 26/1/2017 to fulfill the tender with a total value of $11648536.0. Tender status is recorded as 'Awarded to Suppliers'. With an aim to secure quality services, Ministry of Health-Ministry Headquarter from Government Ministries & Departments published Tender No. HLTHQ0ETT16000051 for INVITATION TO TENDER FOR PILING EARTH RETAINING / STABILISING STRUCTURE AND SITE LEVELLING WORKS TO THE MINISTRY OF HEALTH FOR THE PROPOSED DEVELOPMENT OF THE INTEGRATED INTERMEDIATE CARE HUB (IICH) AT HEALTHCITY NOVENA, SINGAPORE."
MOE000ETT17000010,Audit and Corporate Governance Review of Schools (Compulsory Tender Briefing),Ministry of Education,29/5/2017,Awarded to Suppliers,CROWE HORWATH FIRST TRUST RISK ADVISORY PTE. LTD.,"162,800.0",$162800,Government Ministries & Departments,"Ministry of Education, a prominent Government Ministries & Departments organization, has launched Tender No. MOE000ETT17000010 for Audit and Corporate Governance Review of Schools (Compulsory Tender Briefing). On 29/5/2017, CROWE HORWATH FIRST TRUST RISK ADVISORY PTE. LTD. secured the contract, which is valued at $162800.0. This tender holds the status: Awarded to Suppliers."
CCY000ETT16000017,Invitation to Tender (ITT) for the Provision of Integrated Marketing and Communications Services,"Ministry of Culture, Community and Youth - Ministry Headquarter",17/4/2017,Awarded to Suppliers,TECHLYON PTE. LTD.,"699,260.0",$699260,Government Ministries & Departments,"Following a thorough evaluation, the award was granted on 17/4/2017 to TECHLYON PTE. LTD. for $699260.0. Status update: Awarded to Suppliers. Ministry of Culture, Community and Youth - Ministry Headquarter (Government Ministries & Departments) has issued Tender No. CCY000ETT16000017 seeking submissions for Invitation to Tender (ITT) for the Provision of Integrated Marketing and Communications Services."
FINCEDETT19300009,This is an electronic GPA-covered open tender for the provision of renovation and fit-out works for Singapore Customs Targeting Centre.,Ministry of Finance - Singapore Customs,5/9/2019,Awarded to Suppliers,ASPACIO DESIGN ASSOCIATES PTE LTD,"82,800.0",$82800,Government Ministries & Departments,"ASPACIO DESIGN ASSOCIATES PTE LTD was chosen on 5/9/2019 to fulfill the tender with a total value of $82800.0. Status update: Awarded to Suppliers. In a call for competitive bids, Ministry of Finance - Singapore Customs (Government Ministries & Departments) released Tender No. FINCEDETT19300009 regarding This is an electronic GPA-covered open tender for the provision of renovation and fit-out works for Singapore Customs Targeting Centre.."
MOE000ETT18300074,API Gateway System : Maintenance Support Services for Ministry of Education,Ministry of Education,21/12/2018,Awarded to Suppliers,ENTIIS PTE. LTD.,"1,009,880.0",$1009880,Government Ministries & Departments,"ENTIIS PTE. LTD. was chosen on 21/12/2018 to fulfill the tender with a total value of $1009880.0. With an aim to secure quality services, Ministry of Education from Government Ministries & Departments published Tender No. MOE000ETT18300074 for API Gateway System : Maintenance Support Services for Ministry of Education. Tender status is recorded as 'Awarded to Suppliers'."
FOR000ETT17300028,Provision of Cleaning Services for the Embassy of the Republic of Singapore in Qatar (Doha).,Ministry of Foreign Affairs,19/1/2018,Awarded to Suppliers,SAND HILL CONTRUCTION TRANSPORTATION & CLEANING CO WILL,"236,160.0",$236160,Government Ministries & Departments,"Status update: Awarded to Suppliers. SAND HILL CONTRUCTION TRANSPORTATION & CLEANING CO WILL was chosen on 19/1/2018 to fulfill the tender with a total value of $236160.0. Announcing Tender No. FOR000ETT17300028, Ministry of Foreign Affairs (Government Ministries & Departments) invites proposals for Provision of Cleaning Services for the Embassy of the Republic of Singapore in Qatar (Doha).."
FOR000ETT18300072,"Provision of Security Guarding services at the Singapore Embassy in Yangon including the staff residential block, as well as the Ambassador's residence.",Ministry of Foreign Affairs,12/4/2019,Awarded to Suppliers,Exera Myanmar Limited,"911,312.2",$911312.15,Government Ministries & Departments,"In a call for competitive bids, Ministry of Foreign Affairs (Government Ministries & Departments) released Tender No. FOR000ETT18300072 regarding Provision of Security Guarding services at the Singapore Embassy in Yangon including the staff residential block, as well as the Ambassador's residence.. On 12/4/2019, Exera Myanmar Limited secured the contract, which is valued at $911312.15. This tender holds the status: Awarded to Suppliers."
IDA000ETT16000019,"Proposed Conceptualize, Design, Build and set-up new office for Infocommunications Development Authority of Singapore at 1 Fusionopolis View, #09-01 Sandcrawler Singapore 138577",Government Technology Agency (GovTech),30/5/2016,Awarded to Suppliers,D' PERCEPTION SINGAPORE PTE. LTD.,"972,041.1",$972041.06,Statutory Boards & Regulatory Agencies,"This tender holds the status: Awarded to Suppliers. Announcing Tender No. IDA000ETT16000019, Government Technology Agency (GovTech) (Statutory Boards & Regulatory Agencies) invites proposals for Proposed Conceptualize, Design, Build and set-up new office for Infocommunications Development Authority of Singapore at 1 Fusionopolis View, #09-01 Sandcrawler Singapore 138577. Following a thorough evaluation, the award was granted on 30/5/2016 to D' PERCEPTION SINGAPORE PTE. LTD. for $972041.06."
